Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2015-06-12 17:03,1.3S,32.1W,43.5,,,,,1.76E+11,0.5
2015-06-10 17:43,11.5S,161.9W,61.1,,,,,3.84E+11,1
2015-06-02 8:44,6.4S,142.7W,,,,,,3.80E+11,0.99
2015-05-20 10:20,1.0N,172.6E,32.4,,,,,3.60E+10,0.12
2015-05-18 17:13,32.4N,139.1E,29,,,,,4.30E+10,0.14
2015-05-10 7:45,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,1.43E+11,0.42
2015-05-07 20:34,21.5S,29.3W,37,17.3,-16.2,-5.8,1.4,5.20E+10,0.17
2015-04-30 10:21,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,1.05E+11,0.32
2015-04-21 1:42,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,8.80E+10,0.27
2015-04-10 1:14,42.8S,8.2E,,,,,,6.50E+10,0.21
2015-04-08 4:06,25.5S,51.5E,36.3,19.2,8,-15.6,-7.9,1.73E+11,0.49
2015-04-03 1:39,8.4N,157.9W,,,,,,4.20E+10,0.14
2015-03-30 21:33,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,6.40E+10,0.2
2015-03-18 0:04,5.4S,159.3E,50,,,,,1.21E+11,0.36
2015-03-11 6:18,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16,7.20E+10,0.23
2015-03-08 4:26,39.1S,118.6W,,,,,,2.00E+10,0.073
2015-03-04 4:30,15.9S,88.1E,39.8,18,7.8,-16,-2.5,5.50E+10,0.18
2015-02-26 22:06,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,1.88E+11,0.53
2015-02-25 10:53,12.4N,122.4W,42,,,,,5.80E+10,0.19
2015-02-17 13:19,8.0S,11.2W,39,28.8,-28.2,3.4,4.6,3.30E+10,0.11
2015-01-09 17:31,23.3S,49.2W,,,,,,2.20E+10,0.079
2015-01-09 10:41,2.0N,28.8E,36,17.5,-10.7,-7.6,11.6,1.39E+11,0.41
2015-01-07 1:05,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,1.36E+11,0.4
2015-01-02 13:39,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10,2.00E+10,0.073
2014-12-13 2:53,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,4.40E+10,0.15
2014-12-12 6:48,33.5N,144.9E,26.3,12,11.5,-2.8,-2.2,3.30E+10,0.11
2014-12-09 21:19,76.6N,96.3E,26.3,,,,,7.80E+10,0.24
2014-11-28 11:47,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,7.00E+11,1.7
2014-11-27 12:12,18.8S,73.4W,38,,,,,5.50E+10,0.18
2014-11-26 23:16,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,1.18E+11,0.35
2014-11-26 17:40,68.2S,24.0W,37,19.9,-7,16.1,9.4,1.05E+11,0.32
2014-11-04 20:13,43.1N,115.8E,22.2,16,-7.2,-12.1,-7.7,1.56E+11,0.45
2014-10-21 18:55,22.2N,132.9W,,,,,,3.40E+10,0.12
2014-10-17 14:07,4.6S,66.3W,39,,,,,7.20E+10,0.23
2014-10-14 10:25,2.0S,119.2E,27.2,16.9,15,-6.9,-3.5,2.90E+10,0.1
2014-10-06 20:02,43.7S,85.7E,,,,,,3.90E+10,0.13
2014-09-09 18:55,3.2N,137.2E,32.5,,,,,2.80E+10,0.098
2014-09-05 21:37,22.7N,150.0W,,,,,,3.50E+10,0.12
2014-08-29 23:15,6.2S,49.9W,,,,,,2.60E+10,0.092
2014-08-28 3:07,3.2N,45.4W,,,,,,3.40E+10,0.12
2014-08-23 6:29,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3.82E+12,7.6
2014-07-29 7:38,49.2S,172.2W,,,,,,7.30E+10,0.23
2014-07-29 3:07,33.9S,115.9W,,,,,,5.30E+10,0.17
2014-06-28 2:40,18.9N,141.2E,26.3,12.4,12,3.5,-10.5,2.45E+11,0.67
2014-06-26 5:54,71.5S,93.4E,28.5,11.2,7,2.9,8.3,6.10E+10,0.2
2014-05-29 1:12,21.9N,131.1W,28.7,,,,,5.80E+10,0.19
2014-05-16 20:06,39.4S,95.9W,30.8,18,2.9,13.4,-12.5,1.36E+11,0.4
2014-05-16 12:42,44.2S,176.2W,44,16.5,14.4,4.6,6.5,3.09E+11,0.82
2014-05-08 19:42,36.9S,87.3E,35.4,19,-2,-16.1,9.9,1.05E+12,2.4
2014-03-29 13:45,28.7S,121.5E,30.7,16.3,10,-12.7,2.2,3.90E+10,0.13
